id,createdAt,updatedAt,handle,name,slug,height,weight,number,position,teamId,imageId
1628427,Sat Oct 09 2021 05:58:57 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:09 GMT-0400 (Eastern Daylight Time),1628427,Vlatko Cancar,vlatko-cancar,6-8,236,31,F,1610612743,nba/players/1628427
203932,Sat Oct 09 2021 05:58:57 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:09 GMT-0400 (Eastern Daylight Time),203932,Aaron Gordon,aaron-gordon,6-8,235,50,F,1610612743,nba/players/203932
1628977,Sat Oct 09 2021 05:58:57 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:09 GMT-0400 (Eastern Daylight Time),1628977,Hamidou Diallo,hamidou-diallo,6-5,202,6,G,1610612765,nba/players/1628977
203486,Sat Oct 09 2021 05:58:57 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:10 GMT-0400 (Eastern Daylight Time),203486,Mason Plumlee,mason-plumlee,6-11,254,24,F-C,1610612765,nba/players/203486
1629346,Sat Oct 09 2021 05:58:57 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:10 GMT-0400 (Eastern Daylight Time),1629346,Alen Smailagic,alen-smailagic,6-10,215,6,F,1610612744,nba/players/1629346
1629308,Sat Oct 09 2021 05:58:57 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:10 GMT-0400 (Eastern Daylight Time),1629308,Juan Toscano-Anderson,juan-toscano-anderson,6-6,209,95,F,1610612744,nba/players/1629308
201571,Sat Oct 09 2021 05:58:57 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:11 GMT-0400 (Eastern Daylight Time),201571,D.J. Augustin,dj-augustin,5-11,183,14,G,1610612745,nba/players/201571
1627763,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:11 GMT-0400 (Eastern Daylight Time),1627763,Malcolm Brogdon,malcolm-brogdon,6-5,229,7,G,1610612754,nba/players/1627763
1630206,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:12 GMT-0400 (Eastern Daylight Time),1630206,Jay Scrubb,jay-scrubb,6-5,220,0,G,1610612746,nba/players/1630206
1626159,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:13 GMT-0400 (Eastern Daylight Time),1626159,Justise Winslow,justise-winslow,6-6,222,7,F-G,1610612763,nba/players/1626159
1628415,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:13 GMT-0400 (Eastern Daylight Time),1628415,Dillon Brooks,dillon-brooks,6-7,225,24,G-F,1610612763,nba/players/1628415
2772,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:14 GMT-0400 (Eastern Daylight Time),2772,Trevor Ariza,trevor-ariza,6-8,215,8,F,1610612748,nba/players/2772
2738,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:14 GMT-0400 (Eastern Daylight Time),2738,Andre Iguodala,andre-iguodala,6-6,215,28,G-F,1610612748,nba/players/2738
202357,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:14 GMT-0400 (Eastern Daylight Time),202357,Nemanja Bjelica,nemanja-bjelica,6-10,234,70,F,1610612748,nba/players/202357
201572,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:15 GMT-0400 (Eastern Daylight Time),201572,Brook Lopez,brook-lopez,7-0,282,11,C,1610612749,nba/players/201572
1627774,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:15 GMT-0400 (Eastern Daylight Time),1627774,Jake Layman,jake-layman,6-8,209,10,F,1610612750,nba/players/1627774
1629638,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:16 GMT-0400 (Eastern Daylight Time),1629638,Nickeil Alexander-Walker,nickeil-alexander-walker,6-6,205,6,G,1610612740,nba/players/1629638
1629011,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:17 GMT-0400 (Eastern Daylight Time),1629011,Mitchell Robinson,mitchell-robinson,7-0,240,23,C-F,1610612752,nba/players/1629011
1630466,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:17 GMT-0400 (Eastern Daylight Time),1630466,Gabriel Deck,gabriel-deck,6-6,231,6,F,1610612760,nba/players/1630466
1629647,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:17 GMT-0400 (Eastern Daylight Time),1629647,Darius Bazley,darius-bazley,6-8,208,7,F-G,1610612760,nba/players/1629647
202689,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:17 GMT-0400 (Eastern Daylight Time),202689,Kemba Walker,kemba-walker,6-0,184,8,G,1610612760,nba/players/202689
203516,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:18 GMT-0400 (Eastern Daylight Time),203516,James Ennis III,james-ennis-iii,6-6,215,11,F,1610612753,nba/players/203516
203490,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:18 GMT-0400 (Eastern Daylight Time),203490,Otto Porter Jr.,otto-porter-jr,6-8,198,22,F,1610612753,nba/players/203490
203082,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:18 GMT-0400 (Eastern Daylight Time),203082,Terrence Ross,terrence-ross,6-6,206,31,G-F,1610612753,nba/players/203082
1629680,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:18 GMT-0400 (Eastern Daylight Time),1629680,Matisse Thybulle,matisse-thybulle,6-5,201,22,G-F,1610612755,nba/players/1629680
1630234,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:19 GMT-0400 (Eastern Daylight Time),1630234,Ty-Shon Alexander,ty-shon-alexander,6-3,195,0,G,1610612756,nba/players/1630234
1627846,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:19 GMT-0400 (Eastern Daylight Time),1627846,Abdel Nader,abdel-nader,6-5,225,11,F,1610612756,nba/players/1627846
1629014,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:20 GMT-0400 (Eastern Daylight Time),1629014,Anfernee Simons,anfernee-simons,6-3,181,1,G,1610612757,nba/players/1629014
1626178,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:20 GMT-0400 (Eastern Daylight Time),1626178,Rondae Hollis-Jefferson,rondae-hollis-jefferson,6-6,217,2,F,1610612757,nba/players/1626178
1629833,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:20 GMT-0400 (Eastern Daylight Time),1629833,Keljin Blevins,keljin-blevins,6-4,200,21,G,1610612757,nba/players/1629833
1629610,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:21 GMT-0400 (Eastern Daylight Time),1629610,DaQuan Jeffries,daquan-jeffries,6-5,230,55,G-F,1610612759,nba/players/1629610
1629139,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:22 GMT-0400 (Eastern Daylight Time),1629139,Yuta Watanabe,yuta-watanabe,6-9,215,18,G-F,1610612761,nba/players/1629139
203918,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:22 GMT-0400 (Eastern Daylight Time),203918,Rodney Hood,rodney-hood,6-8,208,32,G-F,1610612761,nba/players/203918
203382,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:22 GMT-0400 (Eastern Daylight Time),203382,Aron Baynes,aron-baynes,6-10,260,46,C-F,1610612761,nba/players/203382
1629714,Sat Oct 09 2021 05:58:58 GMT-0400 (Eastern Daylight Time),Sat Oct 09 2021 06:08:22 GMT-0400 (Eastern Daylight Time),1629714,Jarrell Brantley,jarrell-brantley,6-5,250,5,F,1610612762,nba/players/1629714
