id,createdAt,updatedAt,handle,name,slug,height,weight,number,position,teamId,imageId
1627884,Mon Aug 09 2021 04:14:56 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 07:04:16 GMT-0600 (Mountain Daylight Time),1627884,Derrick Jones Jr.,derrick-jones-jr,6-5,210,5,F,1610612757,nba/players/1627884
1629713,Mon Aug 09 2021 04:15:01 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 07:04:47 GMT-0600 (Mountain Daylight Time),1629713,Justin James,justin-james,6-7,190,10,G-F,1610612758,nba/players/1629713
1628963,Mon Aug 09 2021 04:15:38 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 07:04:55 GMT-0600 (Mountain Daylight Time),1628963,Marvin Bagley III,marvin-bagley-iii,6-11,235,35,F,1610612758,nba/players/1628963
203084,Mon Aug 09 2021 04:15:40 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 07:04:56 GMT-0600 (Mountain Daylight Time),203084,Harrison Barnes,harrison-barnes,6-8,225,40,F,1610612758,nba/players/203084
1629640,Mon Aug 09 2021 04:15:02 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 07:05:13 GMT-0600 (Mountain Daylight Time),1629640,Keldon Johnson,keldon-johnson,6-5,220,3,F-G,1610612759,nba/players/1629640
1627749,Mon Aug 09 2021 04:15:03 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 07:05:15 GMT-0600 (Mountain Daylight Time),1627749,Dejounte Murray,dejounte-murray,6-4,180,5,G,1610612759,nba/players/1627749
201942,Mon Aug 09 2021 04:15:39 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 07:05:18 GMT-0600 (Mountain Daylight Time),201942,DeMar DeRozan,demar-derozan,6-6,220,10,G-F,1610612759,nba/players/201942
1629677,Mon Aug 09 2021 04:15:04 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 07:05:21 GMT-0600 (Mountain Daylight Time),1629677,Luka Samanic,luka-samanic,6-10,227,19,F,1610612759,nba/players/1629677
1628778,Mon Aug 09 2021 04:15:06 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 07:05:39 GMT-0600 (Mountain Daylight Time),1628778,Paul Watson,paul-watson,6-6,210,1,G,1610612761,nba/players/1628778
200768,Mon Aug 09 2021 04:15:06 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 07:05:42 GMT-0600 (Mountain Daylight Time),200768,Kyle Lowry,kyle-lowry,6-0,196,7,G,1610612761,nba/players/200768
203903,Mon Aug 09 2021 04:15:08 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 07:06:06 GMT-0600 (Mountain Daylight Time),203903,Jordan Clarkson,jordan-clarkson,6-4,194,00,G,1610612762,nba/players/203903
204060,Mon Aug 09 2021 04:15:41 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 07:06:06 GMT-0600 (Mountain Daylight Time),204060,Joe Ingles,joe-ingles,6-8,220,2,F-G,1610612762,nba/players/204060
1629744,Mon Aug 09 2021 04:15:10 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 07:06:13 GMT-0600 (Mountain Daylight Time),1629744,Matt Thomas,matt-thomas,6-4,190,21,G,1610612762,nba/players/1629744
1626220,Mon Aug 09 2021 04:15:44 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 07:06:14 GMT-0600 (Mountain Daylight Time),1626220,Royce O'Neale,royce-oneale,6-4,226,23,F,1610612762,nba/players/1626220
202687,Mon Aug 09 2021 04:16:37 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:54:58 GMT-0600 (Mountain Daylight Time),202687,Bismack Biyombo,bismack-biyombo,6-8,255,8,C,1610612766,nba/players/202687
203469,Mon Aug 09 2021 04:16:33 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:55:07 GMT-0600 (Mountain Daylight Time),203469,Cody Zeller,cody-zeller,6-11,240,40,F-C,1610612766,nba/players/203469
1629725,Mon Aug 09 2021 04:15:52 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:55:45 GMT-0600 (Mountain Daylight Time),1629725,Jeremiah Martin,jeremiah-martin,6-2,185,3,G,1610612739,nba/players/1629725
1626246,Mon Aug 09 2021 04:15:53 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:56:23 GMT-0600 (Mountain Daylight Time),1626246,Boban Marjanovic,boban-marjanovic,7-4,290,51,C,1610612742,nba/players/1626246
1627885,Mon Aug 09 2021 04:15:47 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:56:36 GMT-0600 (Mountain Daylight Time),1627885,Shaquille Harrison,shaquille-harrison,6-7,190,3,G,1610612743,nba/players/1627885
1630165,Mon Aug 09 2021 04:16:13 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:57:02 GMT-0600 (Mountain Daylight Time),1630165,Killian Hayes,killian-hayes,6-5,195,7,G,1610612765,nba/players/1630165
1626172,Mon Aug 09 2021 04:15:49 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:57:28 GMT-0600 (Mountain Daylight Time),1626172,Kevon Looney,kevon-looney,6-9,222,5,F,1610612744,nba/players/1626172
1628395,Mon Aug 09 2021 04:15:51 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:57:31 GMT-0600 (Mountain Daylight Time),1628395,Jordan Bell,jordan-bell,6-8,216,7,F,1610612744,nba/players/1628395
1629645,Mon Aug 09 2021 04:16:36 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:57:54 GMT-0600 (Mountain Daylight Time),1629645,Kevin Porter Jr.,kevin-porter-jr,6-4,203,3,G-F,1610612745,nba/players/1629645
1629717,Mon Aug 09 2021 04:15:54 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:57:58 GMT-0600 (Mountain Daylight Time),1629717,Armoni Brooks,armoni-brooks,6-3,195,7,G,1610612745,nba/players/1629717
1629017,Mon Aug 09 2021 04:15:56 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:58:02 GMT-0600 (Mountain Daylight Time),1629017,Khyri Thomas,khyri-thomas,6-3,210,13,G,1610612745,nba/players/1629017
1629052,Mon Aug 09 2021 04:15:57 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:58:26 GMT-0600 (Mountain Daylight Time),1629052,Oshae Brissett,oshae-brissett,6-7,210,12,F-G,1610612754,nba/players/1629052
1628578,Mon Aug 09 2021 04:15:58 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:58:33 GMT-0600 (Mountain Daylight Time),1628578,Amida Brimah,amida-brimah,6-10,230,37,C,1610612754,nba/players/1628578
202694,Mon Aug 09 2021 04:16:35 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:58:56 GMT-0600 (Mountain Daylight Time),202694,Marcus Morris Sr.,marcus-morris-sr,6-8,218,8,F,1610612746,nba/players/202694
202326,Mon Aug 09 2021 04:16:00 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:59:02 GMT-0600 (Mountain Daylight Time),202326,DeMarcus Cousins,demarcus-cousins,6-10,270,15,C,1610612746,nba/players/202326
203471,Mon Aug 09 2021 04:16:01 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:59:29 GMT-0600 (Mountain Daylight Time),203471,Dennis Schroder,dennis-schroder,6-3,172,17,G,1610612747,nba/players/203471
204025,Mon Aug 09 2021 04:16:02 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:59:48 GMT-0600 (Mountain Daylight Time),204025,Tim Frazier,tim-frazier,6-0,170,10,G,1610612763,nba/players/204025
202685,Mon Aug 09 2021 04:16:04 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:59:52 GMT-0600 (Mountain Daylight Time),202685,Jonas Valanciunas,jonas-valanciunas,6-11,265,17,C,1610612763,nba/players/202685
1630217,Mon Aug 09 2021 04:16:05 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:59:54 GMT-0600 (Mountain Daylight Time),1630217,Desmond Bane,desmond-bane,6-5,215,22,G,1610612763,nba/players/1630217
1630253,Mon Aug 09 2021 04:16:05 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:59:56 GMT-0600 (Mountain Daylight Time),1630253,Sean McDermott,sean-mcdermott,6-6,195,30,F,1610612763,nba/players/1630253
1630173,Mon Aug 09 2021 04:16:07 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 07:00:12 GMT-0600 (Mountain Daylight Time),1630173,Precious Achiuwa,precious-achiuwa,6-8,225,5,F,1610612748,nba/players/1630173
203473,Mon Aug 09 2021 04:16:08 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 07:00:18 GMT-0600 (Mountain Daylight Time),203473,Dewayne Dedmon,dewayne-dedmon,7-0,245,21,C,1610612748,nba/players/203473
1630209,Mon Aug 09 2021 04:16:15 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 07:00:26 GMT-0600 (Mountain Daylight Time),1630209,Omer Yurtseven,omer-yurtseven,7-0,275,77,C,1610612748,nba/players/1630209
1629091,Mon Aug 09 2021 04:16:15 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 07:00:37 GMT-0600 (Mountain Daylight Time),1629091,Elijah Bryant,elijah-bryant,6-5,210,3,G,1610612749,nba/players/1629091
1627854,Mon Aug 09 2021 04:15:51 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 07:00:39 GMT-0600 (Mountain Daylight Time),1627854,Bryn Forbes,bryn-forbes,6-2,205,7,G,1610612749,nba/players/1627854
