id,createdAt,updatedAt,handle,name,type,isAssistant,teamId,imageId
202979,Mon Aug 09 2021 04:50:08 GMT-0600 (Mountain Daylight Time),Mon Aug 09 2021 04:50:09 GMT-0600 (Mountain Daylight Time),202979,Jamie Young,Assistant Coach,2,1610612738,nba/coaches/202979
1831,Mon Aug 09 2021 04:51:57 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:53:44 GMT-0600 (Mountain Daylight Time),1831,Marlon Garnett,Assistant Coach,2,1610612737,nba/coaches/1831
203152,Mon Aug 09 2021 04:52:05 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:54:11 GMT-0600 (Mountain Daylight Time),203152,Ime Udoka,Head Coach,1,1610612738,nba/coaches/203152
1627329,Mon Aug 09 2021 04:51:41 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:54:15 GMT-0600 (Mountain Daylight Time),1627329,Scott Morrison,Assistant Coach,2,1610612738,nba/coaches/1627329
1628803,Mon Aug 09 2021 04:52:01 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:54:41 GMT-0600 (Mountain Daylight Time),1628803,Ryan Forehan-Kelly,Assistant Coach,2,1610612751,nba/coaches/1628803
204286,Mon Aug 09 2021 04:52:14 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:56:05 GMT-0600 (Mountain Daylight Time),204286,Stephen Spiro,Trainer,3,1610612739,nba/coaches/204286
1630496,Mon Aug 09 2021 04:51:52 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:56:27 GMT-0600 (Mountain Daylight Time),1630496,Jenny Coucek,Assistant Coach,2,1610612742,nba/coaches/1630496
202894,Mon Aug 09 2021 04:52:04 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:56:54 GMT-0600 (Mountain Daylight Time),202894,Charles Klask,Assistant Coach,2,1610612743,nba/coaches/202894
1627167,Mon Aug 09 2021 04:51:54 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:56:56 GMT-0600 (Mountain Daylight Time),1627167,Dan Shimensky,Trainer,3,1610612743,nba/coaches/1627167
204085,Mon Aug 09 2021 04:52:08 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:57:17 GMT-0600 (Mountain Daylight Time),204085,Sean Sweeney,Assistant Coach,2,1610612765,nba/coaches/204085
204005,Mon Aug 09 2021 04:50:09 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:57:41 GMT-0600 (Mountain Daylight Time),204005,Steve Kerr,Head Coach,1,1610612744,nba/coaches/204005
201690,Mon Aug 09 2021 04:52:09 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:57:43 GMT-0600 (Mountain Daylight Time),201690,Kenny Atkinson,Assistant Coach,2,1610612744,nba/coaches/201690
1628227,Mon Aug 09 2021 04:50:11 GMT-0600 (Mountain Daylight Time),Tue Aug 24 2021 06:57:47 GMT-0600 (Mountain Daylight Time),1628227,Drew Yoder,Trainer,3,1610612744,nba/coaches/1628227
